"Product Name","Product Category","Associated Partner",Fee,Branches,"Associated Workflow",Enrolled,"In Progress"
"Master of Social Work (Qualifying)",Course,"University of Wollongong (UOW)","AUD 63,264.00","Wollongong Campus,Liverpool Campus","Australian Education",0,0
"Master of Statistics",Course,"University of Wollongong (UOW)","AUD 47,088.00","Wollongong Campus","Australian Education",0,0
"Master of Supply Chain Management",Course,"University of Wollongong (UOW)","AUD 47,088.00","Wollongong Campus,Sydney Campus","Australian Education",0,0
"Master of Teaching (Primary)",Course,"University of Wollongong (UOW)","AUD 50,688.00","Wollongong Campus,Batemans Bay Campus,Nowra Distribution Centre Campus,Bega Campus,Southern Highlands Campus","Australian Education",0,0
"Master of Teaching (Secondary)",Course,"University of Wollongong (UOW)","AUD 49,248.00","Wollongong Campus,Nowra Distribution Centre Campus,Bega Campus,Southern Highlands Campus,Batemans Bay Campus","Australian Education",0,0
"Master of Work Health and Safety",Course,"University of Wollongong (UOW)","AUD 65,184.00","Wollongong Campus","Australian Education",0,0
"Master of Work Health and Safety Advanced",Course,"University of Wollongong (UOW)","AUD 59,424.00","Wollongong Campus","Australian Education",0,0
"Masters of Public Health Extension",Course,"University of Wollongong (UOW)","AUD 26,880.00","Wollongong Campus","Australian Education",0,0
"Master of Information and Communication Technology Advanced",Course,"University of Wollongong (UOW)","AUD 67,680.00","Wollongong Campus","Australian Education",0,0
"Master of Engineering",Course,"University of Wollongong (UOW)","AUD 75,072.00","Wollongong Campus,Sydney Campus,Liverpool Campus,Nowra Distribution Centre Campus,Bega Campus,Southern Highlands Campus,Batemans Bay Campus,UOW Sutherland","Australian Education",0,0
"Bachelor of Laws",Course,"University of Wollongong (UOW)","AUD 128,340.00","Wollongong Campus,Liverpool Campus","Australian Education",0,0
"Bachelor of Laws (Graduate Entry)",Course,"University of Wollongong (UOW)","AUD 108,000.00","Wollongong Campus,Liverpool Campus","Australian Education",0,0
"Bachelor of Laws (Honours)",Course,"University of Wollongong (UOW)","AUD 128,340.00","Wollongong Campus,Liverpool Campus","Australian Education",0,0
"Bachelor of Laws (Honours) (Direct Entry)",Course,"University of Wollongong (UOW)","AUD 128,340.00","Wollongong Campus,Liverpool Campus","Australian Education",0,0
"Bachelor of Marine Science (Honours)",Course,"University of Wollongong (UOW)","AUD 101,520.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Mathematics",Course,"University of Wollongong (UOW)","AUD 171,120.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Mathematics - Bachelor of Laws",Course,"University of Wollongong (UOW)","AUD 33,840.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Mathematics (Honours)",Course,"University of Wollongong (UOW)","AUD 135,360.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Mathematics and Finance (Honours)",Course,"University of Wollongong (UOW)","AUD 110,592.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Mathematics Education",Course,"University of Wollongong (UOW)","AUD 94,896.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Medical and Health Sciences",Course,"University of Wollongong (UOW)","AUD 112,608.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Medical and Radiation Physics",Course,"University of Wollongong (UOW)","AUD 150,144.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Medical and Radiation Physics Advanced (Honours)",Course,"University of Wollongong (UOW)","AUD 128,448.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Medical Biotechnology (Honours)",Course,"University of Wollongong (UOW)","AUD 101,520.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Medical Mathematics",Course,"University of Wollongong (UOW)","AUD 128,448.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Medicinal Chemistry (Honours)",Course,"University of Wollongong (UOW)","AUD 97,344.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Neuroscience",Course,"University of Wollongong (UOW)","AUD 91,296.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Nursing",Course,"University of Wollongong (UOW)","AUD 95,904.00","Wollongong Campus,Liverpool Campus,UOW Sutherland,Nowra Distribution Centre Campus,Bega Campus,Batemans Bay Campus,Southern Highlands Campus,Sydney Campus","Australian Education",5,1
"Bachelor of Nursing (Honours)",Course,"University of Wollongong (UOW)","AUD 30,048.00","Wollongong Campus,Liverpool Campus","Australian Education",0,0
"Bachelor of Nutrition and Dietetics (Honours)",Course,"University of Wollongong (UOW)","AUD 94,032.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Nutrition Science",Course,"University of Wollongong (UOW)","AUD 79,776.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Performance and Theatre",Course,"University of Wollongong (UOW)","AUD 79,776.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Politics, Philosophy and Economics",Course,"University of Wollongong (UOW)","AUD 26,592.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Politics, Philosophy and Economics (Honours)",Course,"University of Wollongong (UOW)","AUD 96,336.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Pre-Medicine, Science and Health",Course,"University of Wollongong (UOW)","AUD 113,856.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Primary Education",Course,"University of Wollongong (UOW)","AUD 97,344.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Psychological Science",Course,"University of Wollongong (UOW)","AUD 166,842.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Psychological Science - Bachelor of Laws",Course,"University of Wollongong (UOW)","AUD 146,016.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Creative Arts - Bachelor of Laws",Course,"University of Wollongong (UOW)","AUD 86,400.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Data Science and Analytics",Course,"University of Wollongong (UOW)","AUD 90,720.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Economics and Finance",Course,"University of Wollongong (UOW)","AUD 205,344.04","Wollongong Campus","Australian Education",0,0
"Bachelor of Economics and Finance - Bachelor of Laws",Course,"University of Wollongong (UOW)","AUD 110,592.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Education - The Early Years",Course,"University of Wollongong (UOW)","AUD 150,144.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Engineering (Honours)",Course,"University of Wollongong (UOW)","AUD 187,680.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Engineering (Honours) - Bachelor of Computer Science",Course,"University of Wollongong (UOW)","AUD 187,680.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Engineering (Honours) - Bachelor of Exercise Science",Course,"University of Wollongong (UOW)","AUD 262,752.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Engineering (Honours) - Bachelor of Laws",Course,"University of Wollongong (UOW)","AUD 187,680.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Engineering (Honours) - Bachelor of Mathematics",Course,"University of Wollongong (UOW)","AUD 187,680.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Engineering (Honours) - Bachelor of Science",Course,"University of Wollongong (UOW)","AUD 187,680.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Engineering (Honours) - Bachelor of Commerce",Course,"University of Wollongong (UOW)","AUD 187,680.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Engineering Honours - Bachelor of Arts",Course,"University of Wollongong (UOW)","AUD 128,448.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Environmental Science (Honours)",Course,"University of Wollongong (UOW)","AUD 94,032.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Exercise Science",Course,"University of Wollongong (UOW)","AUD 126,912.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Exercise Science and Rehabilitation",Course,"University of Wollongong (UOW)","AUD 94,320.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Geography",Course,"University of Wollongong (UOW)","AUD 110,592.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Health and Physical Education",Course,"University of Wollongong (UOW)","AUD 90,144.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Health Science (Indigenous Health)",Course,"University of Wollongong (UOW)","AUD 101,520.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Information Technology",Course,"University of Wollongong (UOW)","AUD 101,520.00","Wollongong Campus,Liverpool Campus","Australian Education",2,0
"Bachelor of Informational Technology  - Bachelor of Laws",Course,"University of Wollongong (UOW)","AUD 188,232.00","Wollongong Campus,Liverpool Campus","Australian Education",0,0
"Bachelor of International Studies",Course,"University of Wollongong (UOW)","AUD 136,080.00","Wollongong Campus","Australian Education",0,0
"Bachelor of International Studies - Bachelor of Commerce",Course,"University of Wollongong (UOW)","AUD 136,080.00","Wollongong Campus,Liverpool Campus","Australian Education",0,0
"Bachelor of International Studies - Bachelor of Laws",Course,"University of Wollongong (UOW)","AUD 171,120.00","Wollongong Campus,Liverpool Campus","Australian Education",0,0
"Bachelor of Journalism",Course,"University of Wollongong (UOW)","AUD 126,792.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Journalism - Bachelor of Communication and Media",Course,"University of Wollongong (UOW)","AUD 171,120.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Journalism - Bachelor of Laws",Course,"University of Wollongong (UOW)","AUD 128,340.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Arts in Western Civilisation - Bachelor of International Studies",Course,"University of Wollongong (UOW)","AUD 180,000.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Arts in Western Civilisation - Bachelor of Laws",Course,"University of Wollongong (UOW)","AUD 132,960.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Arts in Western Civilisation - Bachelor of Politics, Philosophy and Economics",Course,"University of Wollongong (UOW)","AUD 90,720.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Business",Course,"University of Wollongong (UOW)","AUD 90,720.00","Wollongong Campus,Nowra Distribution Centre Campus,Bega Campus,Southern Highlands Campus,Liverpool Campus","Australian Education",0,0
"Bachelor of Business - Bachelor of Laws",Course,"University of Wollongong (UOW)","AUD 101,520.00","Liverpool Campus","Australian Education",0,0
"Bachelor of Business Information Systems",Course,"University of Wollongong (UOW)","AUD 101,520.00","Wollongong Campus,Liverpool Campus","Australian Education",0,0
"Bachelor of Commerce",Course,"University of Wollongong (UOW)","AUD 90,720.00","Nowra Distribution Centre Campus,Bega Campus,Southern Highlands Campus,UOW Sutherland,Liverpool Campus","Australian Education",0,0
"Bachelor of Commerce - Bachelor of Laws",Course,"University of Wollongong (UOW)","AUD 171,120.00","Wollongong Campus,Liverpool Campus","Australian Education",0,0
"Bachelor of Commerce (Honours)",Course,"University of Wollongong (UOW)","AUD 84,528.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Communication and Media",Course,"University of Wollongong (UOW)","AUD 136,080.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Communication and Media - Bachelor of Commerce",Course,"University of Wollongong (UOW)","AUD 136,080.00","Wollongong Campus,Liverpool Campus","Australian Education",0,0
"Bachelor of Communication and Media - Bachelor of Computer Science",Course,"University of Wollongong (UOW)","AUD 136,080.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Communication and Media - Bachelor of Economics and Finance",Course,"University of Wollongong (UOW)","AUD 126,792.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Communication and Media - Bachelor of International Studies",Course,"University of Wollongong (UOW)","AUD 126,792.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Communication and Media - Bachelor of International Studies (Dean's Scholar)",Course,"University of Wollongong (UOW)","AUD 126,792.00","Wollongong Campus,Liverpool Campus","Australian Education",0,0
"Bachelor of Communication and Media - Bachelor of Laws",Course,"University of Wollongong (UOW)","AUD 171,120.00","Wollongong Campus,Liverpool Campus","Australian Education",0,0
"Bachelor of Communication and Media - Bachelor of Science",Course,"University of Wollongong (UOW)","AUD 84,528.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Communication and Media (Dean's Scholar)",Course,"University of Wollongong (UOW)","AUD 28,176.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Communication and Media (Honours)",Course,"University of Wollongong (UOW)","AUD 84,528.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Communication and Media Studies",Course,"University of Wollongong (UOW)","AUD 84,528.00","Wollongong Campus,Liverpool Campus","Australian Education",0,0
"Bachelor of Computer Science",Course,"University of Wollongong (UOW)","AUD 101,520.00","Wollongong Campus,Liverpool Campus","Australian Education",0,0
"Bachelor of Computer Science - Bachelor of Laws",Course,"University of Wollongong (UOW)","AUD 188,232.00","Wollongong Campus,Liverpool Campus","Australian Education",0,0
"Bachelor of Conservation Biology (Honours)",Course,"University of Wollongong (UOW)","AUD 82,224.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Creative Arts",Course,"University of Wollongong (UOW)","AUD 126,792.00","Wollongong Campus","Australian Education",0,0
"Bachelor of Creative Arts - Bachelor of Communication and Media",Course,"University of Wollongong (UOW)","AUD 171,120.00","Wollongong Campus","Australian Education",0,0
